ALERT_PARAMETERS,QUERY_CONTEXT,SAVED_SEARCH_ID
"{channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=Senior Software Engineer, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:102393603}]}}, facets={workplaceTypes={selectedValues=[urn:li:workplaceType:2]}}}",5226265465
"{channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=Team Lead, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:91000007}]}}, facets={workplaceTypes={selectedValues=[urn:li:workplaceType:2]}}}",5226265457
"{channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=Software Specialist, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:108117618}]}}, facets={segmentAttributes=[]}}",4896965209
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=Full Stack Engineer, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:91000007}]}}, facets={timePostedRanges={countOnlyValues=[{com.linkedin.common.TimeSpan={duration=1, unit=DAY}}, {com.linkedin.common.TimeSpan={duration=1, unit=WEEK}}, {com.linkedin.common.TimeSpan={duration=30, unit=DAY}}, {com.linkedin.common.TimeRange={}}]}, workplaceTypes={selectedValues=[urn:li:workplaceType:2]}}}",4857272057
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=Senior Software Engineer, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:91000007}]}}, facets={timePostedRanges={countOnlyValues=[{com.linkedin.common.TimeSpan={duration=1, unit=DAY}}, {com.linkedin.common.TimeSpan={duration=1, unit=WEEK}}, {com.linkedin.common.TimeSpan={duration=30, unit=DAY}}, {com.linkedin.common.TimeRange={}}]}, workplaceTypes={selectedValues=[urn:li:workplaceType:2]}}}",4857272049
