Company Name,Title,Description,Location,Started On,Finished On
Kafein Technology Solutions,Software Developer,"AssisTT (Outsourced): Directed end-to-end development of a resource planning module using Erlang, .NET, and AngularJS, implementing automated KPI metrics to optimize workforce planning and ensure strict compliance with national labor laws.  Turkcell (Outsourced): Engineered a high-performance .NET migration engine using Parallel Programming, Multithreading, and Dapper to seamlessly transfer 150M+ rows from Drupal to PostgreSQL, significantly enhancing data integrity and database scalability.  Hepsiburada & Vodafone (Outsourced): Engineered a high-performance multi-tenancy architecture for the storefront and mobile main page using GO and .NET, leveraging MongoDB and PostgreSQL to optimize data retrieval and system scalability for a NASDAQ-listed e-commerce platform.",,Sep 2024,Dec 2025
Clockwork Agency,Senior Software Developer Team Lead,"- Directed a team of software developers in creating innovative and secure applications, achieving consistent delivery of high-quality products within tight deadlines. - Spearheaded system vulnerability patching initiatives, identifying and addressing critical security weaknesses to enhance system robustness. - Led the development and deployment of new features and updates, ensuring the seamless integration of enhancements into existing systems. - Implemented best practices in coding and testing, mentoring junior developers to improve team productivity and maintain high coding standards.","Kocaeli, Türkiye",Oct 2019,Sep 2024
Bank Software Solutions,Lead Developer,"- Optimized legacy codebases by revising and modularizing code, reducing operational costs, and improving overall functionality. - Conducted rigorous testing and debugging to ensure high-quality deliverables, minimizing errors and maximizing system uptime. - Contributed to all stages of the system development lifecycle, from gathering requirements to final deployment and post-implementation support.","Kocaeli, Turkey",Dec 2015,Jul 2019
Pavlike Web Aplications and Solutions,.Net Mvc Developer,"Participated in highly complex projects with customers, managers and end-users. Kept leadership up-to-date on current issues and proposed recommendations. Resolved hardware and software compatibility and interface design issues. Analyzed, evaluated and developed new web and database applications.","Kocaeli, Turkey",Apr 2015,Nov 2015
Piyasa Group,.Net Mvc Developer,"Reviewed code, debugged problems, and corrected issues. Developed functional databases, applications and servers to support websites on back-end. Provided software application engineering and maintenance for development lifecycle.","Kocaeli, Turkey",Aug 2014,Oct 2014
LuckyEye,Webmaster,"Troubleshot issues with websites and fixed scripting and use issues. Coded websites using HTML, CSS, JavaScript, and jQuery languages.","Kocaeli, Turkey",May 2014,Jun 2014
Revo Bilişim,Webmaster,Monitored database performance to keep workflows running smoothly. Troubleshot and resolved performance issues for databases and software.,"Kocaeli, Turkey",Dec 2012,Jun 2013
Türkiye İş Bankası,Intern,,"Kocaeli, Turkey",Sep 2011,Jun 2012
